# a_x,a_y,a_z,omega_x,omega_y,omega_z
1.7168,2.0445,9.8189,0.3420,-0.4848,-0.1707
1.6993,1.9074,9.7304,0.3577,-0.4648,-0.1411
1.7498,1.8589,9.8075,0.3592,-0.4656,-0.1815
1.9087,1.8070,9.7506,0.3606,-0.4774,-0.1789
1.8364,1.9111,9.8386,0.3705,-0.4811,-0.1835
1.7523,1.7784,9.8507,0.3699,-0.4799,-0.2135
1.7577,1.8187,9.5967,0.3912,-0.4946,-0.2224
1.8910,1.8604,9.8428,0.4083,-0.4855,-0.2204
2.0415,1.8753,9.8296,0.3926,-0.4782,-0.2453
1.8249,1.7807,9.8332,0.4047,-0.4924,-0.2472
1.9440,1.7599,9.6835,0.3864,-0.4907,-0.2536
2.1672,1.6911,9.7828,0.3866,-0.4822,-0.2521
1.9224,1.8117,9.9207,0.3997,-0.5032,-0.2446
1.9664,1.7758,9.8015,0.4128,-0.4838,-0.2926
1.8488,1.7890,9.7206,0.4100,-0.4830,-0.2717
2.1497,1.5794,9.8944,0.4094,-0.5152,-0.2776
2.0345,1.7999,9.7917,0.4176,-0.4916,-0.2903
2.0713,1.4506,9.7832,0.4157,-0.5010,-0.2870
2.0210,1.5247,9.9569,0.4213,-0.5075,-0.3051
2.0803,1.6452,9.8481,0.4311,-0.5087,-0.3267
1.9946,1.5538,9.7240,0.4335,-0.4871,-0.3319
1.7942,1.5265,9.8666,0.4492,-0.5027,-0.3427
1.9105,1.4840,9.8942,0.4331,-0.4942,-0.3409
1.9090,1.4933,9.7915,0.4353,-0.5164,-0.3605
1.9505,1.5427,9.7786,0.4395,-0.5111,-0.3490
1.8842,1.5586,9.6752,0.4594,-0.4973,-0.3705
1.8411,1.3853,9.7264,0.4362,-0.5084,-0.3563
1.8812,1.5413,9.9731,0.4634,-0.4915,-0.3821
1.7774,1.5576,9.6731,0.4615,-0.5158,-0.3887
1.9584,1.4618,10.0690,0.4623,-0.5146,-0.3928
1.8319,1.0548,9.8596,0.4710,-0.5116,-0.3776
1.8407,1.0594,9.8475,0.4781,-0.5237,-0.4168
1.6809,1.3744,9.6686,0.4739,-0.5105,-0.3980
1.5334,1.2761,9.8013,0.4643,-0.5282,-0.4105
1.6328,0.9937,9.6527,0.4776,-0.5235,-0.4565
1.7844,1.0752,9.9368,0.4846,-0.5212,-0.4209
1.7463,1.1068,9.8652,0.4687,-0.5104,-0.4383
1.6150,1.0842,9.6554,0.5180,-0.5049,-0.4395
1.6805,1.1106,9.9002,0.4922,-0.5164,-0.4376
1.4880,1.0791,9.7305,0.4837,-0.4924,-0.4526
1.5820,0.7786,9.6605,0.4921,-0.5178,-0.4632
1.6178,0.7890,9.8038,0.5031,-0.5211,-0.4509
1.3917,0.8082,9.7811,0.4977,-0.4961,-0.4712
1.4333,0.9962,9.9029,0.5027,-0.5169,-0.4757
1.2866,0.7290,9.8661,0.5112,-0.5239,-0.4641
1.1953,0.7955,9.8133,0.5130,-0.5215,-0.4683
1.2600,0.8241,9.8815,0.5067,-0.5219,-0.4809
1.2085,0.7790,9.8266,0.5146,-0.4954,-0.4779
1.2496,0.5920,9.7778,0.5019,-0.5151,-0.4830
1.0901,0.6428,9.6702,0.5250,-0.5197,-0.5075
1.0893,0.4827,9.7599,0.5109,-0.5176,-0.5055
0.9158,0.4480,9.8994,0.5122,-0.5357,-0.5026
0.9686,0.6159,9.8793,0.4951,-0.5168,-0.4928
0.9339,0.5437,9.8974,0.5188,-0.5095,-0.4901
1.0455,0.3621,9.7263,0.5244,-0.5173,-0.4946
0.8891,0.4862,9.8216,0.5145,-0.5232,-0.4925
0.6613,0.4525,9.5847,0.5139,-0.5021,-0.5015
0.6172,0.4583,10.0105,0.5322,-0.5025,-0.5185
0.4721,0.3956,9.7386,0.5223,-0.5253,-0.5155
0.6617,0.3463,9.8310,0.5245,-0.5185,-0.5058
0.4576,0.1510,9.9300,0.5327,-0.5238,-0.5231
0.1944,0.1852,9.8822,0.5283,-0.5295,-0.5354
0.3318,0.2595,9.6669,0.5316,-0.5166,-0.5176
0.4042,0.0565,9.7849,0.5227,-0.5163,-0.5453
0.0117,0.2795,9.8107,0.5358,-0.5177,-0.5296
0.3777,0.1291,9.8901,0.5283,-0.5155,-0.5115
0.0748,0.1145,9.6527,0.5406,-0.5251,-0.5131
0.1750,-0.0518,9.8993,0.5365,-0.5278,-0.5359
-0.2395,-0.0142,9.6946,0.5192,-0.5381,-0.5303
-0.0559,-0.1289,9.6044,0.5146,-0.5268,-0.5134
-0.2519,-0.2483,9.8417,0.5282,-0.5268,-0.5256
-0.1194,-0.1387,9.9287,0.5338,-0.5109,-0.5254
-0.3042,0.0606,9.8177,0.5126,-0.5358,-0.5152
-0.3359,-0.0566,9.9100,0.5188,-0.5461,-0.5187
-0.4195,-0.4518,9.7124,0.5060,-0.5129,-0.5191
-0.4960,-0.2142,9.6810,0.5220,-0.5233,-0.5251
-0.5421,-0.2200,9.8839,0.5188,-0.5274,-0.5101
-0.5647,-0.2440,9.8426,0.5166,-0.5237,-0.5183
-0.6046,-0.5037,9.7296,0.5238,-0.5291,-0.5205
-0.8907,-0.2755,9.8723,0.5096,-0.5217,-0.5066
-0.6950,-0.5051,9.8159,0.5164,-0.5298,-0.5286
-0.8781,-0.4106,9.8182,0.4999,-0.5262,-0.4931
-0.8388,-0.5935,9.5066,0.4931,-0.5305,-0.5001
-0.9814,-0.7031,9.7774,0.5164,-0.5159,-0.5061
-1.1044,-0.6847,9.8117,0.5182,-0.5254,-0.4957
-0.9443,-0.7599,9.8945,0.5355,-0.5338,-0.5001
-0.9845,-0.4375,9.7883,0.5132,-0.5195,-0.4850
-1.1028,-0.6840,9.6491,0.5014,-0.5212,-0.5010
-1.1388,-0.9226,9.8167,0.5005,-0.5034,-0.4830
-1.1455,-0.7948,9.6829,0.5107,-0.5205,-0.4919
-1.4978,-0.9250,9.7459,0.4959,-0.5122,-0.4570
-1.5250,-0.8221,9.8115,0.5084,-0.5160,-0.4645
-1.3640,-1.0408,9.9385,0.5070,-0.5158,-0.4810
-1.4384,-0.9334,9.7361,0.4997,-0.5162,-0.4707
-1.4519,-1.1629,9.6125,0.4905,-0.5125,-0.4476
-1.4615,-0.7595,9.7277,0.4993,-0.5055,-0.4567
-1.5987,-1.0115,9.7859,0.4899,-0.5178,-0.4561
-1.7183,-1.1154,9.7914,0.4810,-0.5192,-0.4410
-1.6549,-1.1182,9.7263,0.4738,-0.4976,-0.4379
-1.6635,-1.2102,9.8319,0.4480,-0.5166,-0.4357
-1.6340,-1.0461,9.8482,0.4863,-0.5090,-0.4235
-1.6521,-1.0629,9.6740,0.4812,-0.5147,-0.4120
-1.5748,-1.1225,9.7862,0.4593,-0.5117,-0.4129
-1.7739,-1.3706,9.8362,0.4742,-0.5127,-0.4223
-1.7885,-1.2813,9.7001,0.4797,-0.5012,-0.3974
-1.9081,-1.1395,9.9298,0.4619,-0.4925,-0.3962
-1.8002,-1.4153,9.7069,0.4585,-0.5074,-0.3964
-1.9858,-1.5045,10.0314,0.4640,-0.5090,-0.3830
-1.9414,-1.3113,9.7598,0.4652,-0.5025,-0.3743
-2.0329,-1.3270,9.7422,0.4642,-0.5045,-0.3935
-1.9193,-1.4316,9.7979,0.4619,-0.5107,-0.3824
-2.0149,-1.4036,9.7819,0.4583,-0.5255,-0.3411
-1.8668,-1.5055,9.8449,0.4450,-0.4895,-0.3647
-1.8092,-1.4451,9.8427,0.4566,-0.4802,-0.3573
-2.0393,-1.6525,9.8255,0.4569,-0.5061,-0.3585
-1.9110,-1.6071,9.6916,0.4345,-0.5038,-0.3195
-1.9689,-1.4395,9.7982,0.4295,-0.4974,-0.3104
-2.0227,-1.4233,9.7191,0.4111,-0.4948,-0.3194
-1.9108,-1.5180,9.7492,0.3933,-0.5103,-0.2925
-2.0033,-1.4841,9.9280,0.4168,-0.4913,-0.3111
-2.0639,-1.6385,9.6122,0.4276,-0.5057,-0.2831
-1.9671,-1.7933,9.7548,0.4072,-0.4944,-0.3064
-2.3435,-1.7725,9.7095,0.3896,-0.4946,-0.2599
-1.9373,-1.6131,9.8591,0.3872,-0.4982,-0.2554
-2.0652,-1.6564,9.8019,0.4057,-0.4843,-0.2556
-1.8087,-1.7073,9.6641,0.3758,-0.5044,-0.2378
-1.9215,-1.7845,9.8431,0.4033,-0.4879,-0.2399
-1.9485,-1.7895,9.7061,0.3801,-0.4649,-0.2252
-2.0075,-2.1018,9.9450,0.3865,-0.4672,-0.2411
-1.9547,-1.9684,9.8301,0.3862,-0.4882,-0.2022
-1.9457,-1.7713,9.8411,0.3624,-0.4942,-0.2072
-1.8806,-1.7189,9.8990,0.3562,-0.4886,-0.1899
-1.9628,-2.0899,9.7594,0.3547,-0.4888,-0.1888
-1.7071,-1.8692,9.8883,0.3406,-0.4734,-0.1758
-1.7342,-1.7850,9.7701,0.3417,-0.4697,-0.1691
-1.7059,-1.9566,9.7697,0.3518,-0.4748,-0.1489
-1.6945,-1.9075,9.8036,0.3333,-0.4852,-0.1242
-1.7981,-1.9358,9.9925,0.3344,-0.4721,-0.1366
-1.7638,-2.0369,9.6597,0.3310,-0.4770,-0.1154
-1.4450,-2.0105,9.8557,0.3229,-0.4664,-0.1001
-1.7111,-2.1139,10.0162,0.3143,-0.4717,-0.1084
-1.4241,-2.0999,9.8032,0.3175,-0.4712,-0.0999
-1.5063,-1.9877,9.7796,0.3107,-0.4745,-0.1001
-1.4157,-1.9015,9.8751,0.3034,-0.4673,-0.0729
-1.2718,-2.0832,9.7848,0.3111,-0.4637,-0.0749
-1.1911,-1.9631,9.8797,0.3031,-0.4550,-0.0489
-1.1340,-2.0453,9.6761,0.2908,-0.4636,-0.0303
-1.2882,-2.0334,9.7898,0.2904,-0.4638,-0.0393
-1.2972,-1.8904,9.7711,0.2770,-0.4628,-0.0187
-1.0603,-1.9874,9.7830,0.2677,-0.4626,-0.0014
-1.0358,-2.0615,9.8303,0.2678,-0.4548,-0.0155
-1.0769,-2.0406,9.7527,0.2757,-0.4463,-0.0114
-0.9549,-2.1433,9.7213,0.2634,-0.4639,0.0055
-0.7071,-2.1147,9.6039,0.2207,-0.4361,0.0337
-0.7686,-1.8468,9.5855,0.2491,-0.4565,0.0328
-0.6672,-2.1988,9.9549,0.2126,-0.4392,0.0351
-0.5833,-1.9331,9.7014,0.2137,-0.4537,0.0499
-0.5500,-1.9878,9.8272,0.2128,-0.4434,0.0590
-0.5554,-1.8575,9.9129,0.2249,-0.4336,0.0576
-0.4601,-1.8530,9.9199,0.2195,-0.4376,0.0756
-0.6083,-1.8193,9.8853,0.2130,-0.4452,0.0968
-0.4344,-1.7786,9.7190,0.2184,-0.4159,0.0802
-0.4033,-1.8860,9.6071,0.1819,-0.4340,0.0887
-0.3594,-2.0079,9.8525,0.1820,-0.4388,0.1310
-0.2113,-1.8946,9.7321,0.1774,-0.4341,0.1181
-0.1437,-1.8939,9.7631,0.1607,-0.4447,0.1466
-0.0007,-1.9317,9.7531,0.1553,-0.4263,0.1283
-0.0255,-1.9331,9.7495,0.1767,-0.4343,0.1606
0.1774,-2.0333,9.8153,0.1616,-0.4389,0.1719
0.0628,-1.8462,9.8505,0.1443,-0.4281,0.1794
0.4115,-1.7277,9.6290,0.1292,-0.4143,0.1889
0.2493,-1.7486,9.8816,0.1284,-0.4178,0.2077
0.3688,-2.0206,9.7575,0.1173,-0.4239,0.2023
0.4084,-1.8446,9.8494,0.1350,-0.4100,0.2301
0.1604,-1.8254,9.8196,0.1273,-0.3938,0.2243
0.5695,-1.9964,9.9188,0.1086,-0.4082,0.2393
0.6459,-1.7134,9.8474,0.1021,-0.4123,0.2314
0.5907,-1.7923,9.8986,0.1130,-0.3927,0.2577
0.6815,-1.7315,9.8771,0.0861,-0.3980,0.2653
0.6759,-1.7845,9.8636,0.0702,-0.4014,0.2395
0.5759,-1.5231,9.9957,0.0922,-0.3958,0.2820
0.9469,-1.6806,9.9061,0.1019,-0.4004,0.2896
0.9680,-1.5711,10.0779,0.0664,-0.3851,0.2745
0.7975,-1.7095,9.7851,0.0465,-0.3997,0.2968
0.9295,-1.6565,9.8640,0.0372,-0.3984,0.2891
0.9080,-1.4485,9.7508,0.0281,-0.3983,0.3160
0.8832,-1.4708,9.7898,0.0412,-0.3801,0.3285
1.2661,-1.7400,9.6966,0.0345,-0.3888,0.3514
1.1580,-1.5012,9.8156,0.0210,-0.3750,0.3397
1.2972,-1.4758,10.0592,0.0075,-0.3590,0.3428
1.3788,-1.5550,9.7531,0.0145,-0.3807,0.3675
1.2848,-1.5635,9.7013,0.0187,-0.3549,0.3613
1.5221,-1.2691,9.8520,0.0086,-0.3698,0.3667
1.4876,-1.3162,10.0307,-0.0118,-0.3705,0.3686
1.4780,-1.4651,9.7902,-0.0151,-0.3756,0.3693
1.5608,-1.4294,9.8807,-0.0264,-0.3879,0.4086
1.4456,-1.3552,9.8612,-0.0180,-0.3658,0.4196
1.5916,-1.1941,9.7955,-0.0333,-0.3678,0.4148
1.7221,-1.2933,9.7869,-0.0363,-0.3623,0.4254
1.6873,-1.3671,9.8476,-0.0324,-0.3777,0.4046
1.4723,-1.0375,9.6938,-0.0674,-0.3468,0.4153
1.7858,-1.1858,9.8270,-0.0490,-0.3536,0.4244
1.8058,-1.1890,9.7610,-0.0740,-0.3639,0.4477
1.7833,-1.0376,9.6509,-0.0643,-0.3459,0.4500
1.8061,-1.0921,9.7600,-0.0736,-0.3406,0.4345
1.7967,-0.7713,9.7853,-0.0761,-0.3374,0.4595
1.9269,-1.0218,9.7193,-0.0894,-0.3614,0.4497
1.8993,-1.1040,9.7353,-0.1049,-0.3259,0.4430
1.9045,-0.9550,9.8195,-0.1124,-0.3634,0.4694
1.9790,-0.9007,9.7065,-0.0883,-0.3195,0.4494
1.8497,-0.8568,10.0151,-0.1068,-0.3383,0.4779
1.9482,-0.7503,9.7407,-0.1366,-0.3165,0.4740
2.0717,-0.8354,9.8662,-0.1313,-0.3205,0.4867
1.9246,-0.8714,9.6897,-0.1299,-0.3138,0.4740
2.0887,-0.6861,9.9104,-0.1411,-0.3123,0.4842
2.0488,-0.6736,9.5770,-0.1459,-0.3136,0.4989
1.9081,-0.5068,9.8421,-0.1533,-0.3230,0.4820
2.2043,-0.5882,9.7479,-0.1523,-0.2929,0.5006
1.8530,-0.6217,9.8354,-0.1538,-0.3047,0.4808
2.0061,-0.5514,9.7690,-0.1630,-0.3088,0.4698
1.9426,-0.4758,9.6412,-0.1828,-0.3000,0.5049
2.0061,-0.6499,9.7133,-0.1720,-0.2846,0.4995
1.9430,-0.4996,9.7354,-0.1975,-0.2926,0.4997
1.9660,-0.4669,9.9314,-0.1851,-0.3117,0.5109
2.0377,-0.2088,9.7315,-0.2126,-0.2918,0.5035
1.8707,-0.2963,9.7657,-0.2120,-0.2899,0.5320
1.8975,-0.1735,9.6082,-0.2147,-0.2691,0.5035
1.6995,-0.2870,9.8305,-0.2065,-0.2797,0.5411
1.9692,-0.1369,9.7809,-0.2134,-0.2878,0.5086
1.8280,-0.2264,9.9251,-0.2300,-0.2863,0.5343
1.8422,-0.0235,9.8915,-0.2483,-0.2814,0.5166
1.8163,-0.1503,9.7615,-0.2482,-0.2699,0.5169
1.7979,-0.0308,9.8095,-0.2401,-0.2677,0.5349
1.6891,-0.1041,9.6936,-0.2552,-0.2508,0.5338
1.6367,-0.1539,10.0188,-0.2617,-0.2699,0.5118
1.5248,-0.0100,9.8428,-0.2772,-0.2597,0.5199
1.6279,0.0937,9.7686,-0.2554,-0.2706,0.5167
1.7101,0.2631,9.8015,-0.2601,-0.2417,0.5195
1.6666,-0.0054,9.8171,-0.2827,-0.2455,0.5206
1.5333,0.2290,9.6634,-0.2890,-0.2382,0.5241
1.5864,0.0828,9.7643,-0.3110,-0.2493,0.5121
1.5057,0.0915,9.7708,-0.2944,-0.2441,0.5106
1.4999,0.2488,9.8770,-0.3251,-0.2544,0.5083
1.3992,0.3386,9.9583,-0.3125,-0.2523,0.5162
1.2466,0.4359,9.8533,-0.3174,-0.2418,0.5201
1.2523,0.4042,9.7380,-0.3079,-0.2356,0.5229
1.1273,0.3689,9.5811,-0.3440,-0.2289,0.5249
1.3277,0.4154,9.7785,-0.3196,-0.2251,0.4923
0.9508,0.4673,9.8303,-0.3323,-0.1925,0.4952
1.1441,0.4779,9.9619,-0.3566,-0.2199,0.5103
1.0356,0.4835,9.8106,-0.3513,-0.2185,0.5058
1.0358,0.5366,9.7512,-0.3269,-0.1980,0.4933
0.9171,0.6661,9.8250,-0.3714,-0.2143,0.5058
1.0815,0.7510,9.6734,-0.3799,-0.1999,0.4851
0.7276,0.6819,9.7563,-0.3668,-0.1757,0.4790
0.7804,0.8422,9.8857,-0.3758,-0.2037,0.4843
0.7816,0.6756,9.6966,-0.3849,-0.1912,0.4691
0.5825,0.8817,9.6642,-0.3766,-0.1916,0.4918
0.5232,0.8789,9.8767,-0.3820,-0.1945,0.4727
0.6152,1.0896,9.7983,-0.3927,-0.1823,0.4684
0.3144,1.0569,9.7578,-0.3788,-0.1675,0.4661
0.3515,1.0863,9.8602,-0.3951,-0.1791,0.4608
0.2408,1.1557,9.7840,-0.4002,-0.1674,0.4466
0.1707,1.0362,9.7561,-0.4043,-0.1640,0.4443
0.1453,1.1119,9.7987,-0.3915,-0.1778,0.4387
0.0892,1.1836,10.1025,-0.4211,-0.1750,0.4510
0.0389,1.1930,9.6645,-0.4063,-0.1458,0.4166
-0.0031,1.2136,9.8874,-0.4281,-0.1537,0.4282
0.0389,1.1426,9.8476,-0.4227,-0.1669,0.4213
0.0931,1.0768,9.8288,-0.4123,-0.1607,0.4023
0.0570,1.1827,9.6933,-0.4334,-0.1685,0.4050
-0.3263,1.2937,9.7918,-0.4348,-0.1433,0.4105
-0.4304,1.2813,9.6327,-0.4430,-0.1474,0.3898
-0.3386,1.3660,9.7712,-0.4486,-0.1435,0.3754
-0.3534,1.3519,9.6010,-0.4586,-0.1393,0.3852
-0.4380,1.5208,9.7112,-0.4478,-0.1255,0.3601
-0.6071,1.2785,9.8614,-0.4204,-0.1495,0.3678
-0.6526,1.4662,9.8364,-0.4536,-0.1284,0.3424
-0.6670,1.4151,9.8336,-0.4709,-0.1306,0.3621
-0.6382,1.4063,9.8528,-0.4657,-0.1159,0.3464
-0.6907,1.4767,9.9188,-0.4810,-0.1273,0.3474
-0.8698,1.5694,9.7457,-0.4907,-0.1041,0.3289
-0.8614,1.5433,9.8151,-0.4815,-0.1101,0.3243
-0.9796,1.5560,9.8156,-0.4867,-0.1030,0.3079
-1.1233,1.5632,9.6380,-0.4585,-0.1036,0.3094
-0.9161,1.6626,9.8700,-0.4928,-0.1079,0.3000
-1.2988,1.6536,9.8326,-0.4798,-0.0778,0.2834
-1.1023,1.7980,9.7476,-0.4868,-0.1006,0.2766
-1.2952,1.6842,10.0263,-0.4761,-0.1097,0.2859
-1.3650,1.6772,9.9183,-0.4949,-0.0824,0.2802
-1.5289,1.8998,9.7988,-0.4778,-0.1077,0.2579
-1.2197,1.7816,9.5374,-0.4941,-0.0874,0.2526
-1.4933,1.7800,9.8041,-0.4914,-0.1073,0.2522
-1.5156,1.7833,9.7147,-0.4963,-0.0692,0.2376
-1.3265,1.5606,9.8549,-0.5012,-0.0730,0.2274
-1.4855,1.7163,9.6325,-0.5050,-0.0743,0.2251
-1.5960,1.8507,9.7619,-0.4992,-0.0598,0.1982
-1.6862,2.0403,9.7395,-0.5012,-0.0643,0.2028
-1.7579,1.8295,9.8411,-0.5041,-0.0830,0.1859
-1.5936,1.9912,9.7410,-0.5079,-0.0780,0.1589
-1.6770,1.8948,9.9097,-0.5035,-0.0517,0.1622
-1.6032,1.9651,9.8812,-0.5024,-0.0586,0.1644
-1.8965,1.8191,10.0144,-0.5311,-0.0521,0.1395
-1.7462,2.0172,9.7599,-0.5201,-0.0491,0.1289
-1.8387,2.0301,9.6901,-0.5378,-0.0496,0.1248
-1.7686,2.0517,9.7715,-0.5208,-0.0364,0.1030
-1.8725,1.9521,9.8246,-0.5121,-0.0561,0.1003
-1.7592,2.0265,9.7755,-0.5237,-0.0181,0.1118
-2.0245,1.8618,9.6423,-0.5255,-0.0577,0.1019
-1.9144,2.0495,9.8728,-0.5162,-0.0285,0.0748
-2.0897,1.9142,9.5988,-0.5296,-0.0354,0.0825
-1.8576,2.1416,9.8263,-0.5276,-0.0180,0.0564
-2.0665,1.8565,9.7416,-0.5117,-0.0119,0.0526
-1.9847,2.0381,9.8568,-0.5295,-0.0125,0.0438
-1.9601,1.9623,9.9348,-0.5215,-0.0051,0.0397
-2.2232,2.1302,9.9815,-0.5045,-0.0187,0.0314
-2.0786,1.9110,9.8491,-0.5212,0.0033,0.0350
-2.1416,1.9869,9.9891,-0.5236,-0.0251,-0.0068
-1.9428,1.9491,9.7204,-0.5214,0.0166,-0.0001
-2.0141,2.0855,9.6304,-0.5170,0.0151,-0.0237
-2.0411,1.8586,9.9010,-0.5199,0.0100,-0.0251
-1.8840,1.9306,9.9678,-0.5163,0.0049,-0.0268
-1.9800,2.1162,9.9182,-0.5040,0.0143,-0.0633
-1.9375,2.1745,9.7988,-0.5325,0.0201,-0.0573
-1.9825,1.9311,9.6091,-0.5259,0.0155,-0.0572
-2.0837,2.0493,9.8006,-0.5247,0.0163,-0.0711
-2.0204,1.9040,10.0628,-0.5113,0.0479,-0.0956
-1.9846,1.7539,9.9096,-0.5187,0.0304,-0.0956
-1.9157,2.0299,9.9656,-0.5018,0.0231,-0.1028
-1.9222,1.8301,9.8304,-0.5084,0.0228,-0.1187
-1.7873,1.9601,9.8854,-0.5230,0.0411,-0.1282
-1.7940,1.9940,10.0628,-0.5169,0.0471,-0.1230
-1.8413,1.9386,9.8273,-0.5155,0.0603,-0.1319
-1.6825,1.8259,9.9237,-0.5144,0.0438,-0.1431
-1.8257,1.8718,9.7662,-0.4945,0.0590,-0.1722
-1.7080,1.7945,9.7147,-0.5169,0.0558,-0.1377
-1.8532,1.8281,9.6654,-0.5102,0.0685,-0.1807
-1.4954,1.8268,9.9457,-0.5170,0.0466,-0.1824
-1.6593,1.6464,9.9880,-0.5174,0.0710,-0.2041
-1.4401,1.6941,9.6683,-0.5228,0.0715,-0.2113
-1.6636,1.6994,9.7031,-0.5043,0.0827,-0.2290
-1.5521,1.7265,9.6853,-0.5036,0.0807,-0.2188
-1.4947,1.8315,10.0011,-0.5047,0.0904,-0.2349
-1.3982,1.6206,9.9312,-0.5044,0.0889,-0.2178
-1.3688,1.6050,9.9831,-0.4951,0.0872,-0.2678
-1.2123,1.7227,9.9395,-0.5087,0.0949,-0.2537
-1.3517,1.6358,9.5740,-0.5004,0.0919,-0.2746
-1.1564,1.7982,9.9864,-0.5053,0.1038,-0.2789
-1.2941,1.7163,10.0220,-0.4908,0.0985,-0.2832
-0.9422,1.5732,9.8212,-0.4988,0.0829,-0.2928
-1.1525,1.6820,9.8262,-0.4824,0.0903,-0.3129
-0.9422,1.6759,9.9039,-0.4793,0.1137,-0.3052
-1.0548,1.4561,9.9366,-0.4629,0.1085,-0.3219
-0.8365,1.5060,9.7804,-0.4644,0.1205,-0.3213
-0.7825,1.3406,9.8215,-0.4797,0.1058,-0.3484
-0.5138,1.5157,9.8143,-0.4569,0.1111,-0.3546
-0.6756,1.3495,9.8024,-0.4669,0.1403,-0.3524
-0.5142,1.4347,9.8300,-0.4821,0.1442,-0.3482
-0.5925,1.4274,9.6695,-0.4761,0.1246,-0.3577
-0.4735,1.5228,9.7448,-0.4618,0.1205,-0.3424
-0.6183,1.4773,9.7213,-0.4518,0.1407,-0.3898
-0.4556,1.3024,9.7716,-0.4358,0.1424,-0.3946
-0.3586,1.3234,9.6743,-0.4412,0.1378,-0.3828
-0.3279,1.4197,9.7410,-0.4254,0.1722,-0.4070
-0.2148,1.5463,9.7907,-0.4309,0.1505,-0.4148
-0.0752,1.2685,9.8017,-0.4202,0.1646,-0.3986
-0.0147,1.2509,9.9612,-0.4176,0.1465,-0.4172
-0.2038,1.1629,9.7617,-0.4259,0.1560,-0.4226
-0.2047,1.2450,9.7966,-0.4175,0.1763,-0.4474
0.1477,1.0877,9.7250,-0.4263,0.1806,-0.4400
0.2900,1.1157,9.9369,-0.4157,0.1786,-0.4239
0.2917,1.0609,9.8216,-0.4014,0.1722,-0.4545
0.2735,1.1243,9.8135,-0.4169,0.1693,-0.4548
0.2128,1.0204,9.8316,-0.4015,0.1847,-0.4460
0.3675,0.7307,9.8707,-0.3917,0.1815,-0.4672
0.4356,0.9742,9.9723,-0.3858,0.2006,-0.4607
0.4902,0.9119,9.8461,-0.3900,0.1839,-0.4705
0.6567,0.7695,9.8907,-0.4019,0.1831,-0.4642
0.8177,0.9318,9.8123,-0.3624,0.1955,-0.4689
0.7643,0.9408,9.9402,-0.3835,0.2017,-0.4846
0.8022,0.9475,9.8406,-0.3540,0.1781,-0.4847
0.7816,0.5958,9.9465,-0.3698,0.2230,-0.5026
0.9939,0.6298,9.7889,-0.3668,0.2107,-0.4757
1.0304,0.8058,9.7788,-0.3515,0.1937,-0.4949
0.8644,0.6221,9.6200,-0.3551,0.2178,-0.4855
1.1610,0.5569,9.6923,-0.3374,0.2117,-0.5085
0.9342,0.7020,9.9417,-0.3448,0.2271,-0.5019
1.1075,0.7466,9.6802,-0.3539,0.2189,-0.5218
1.0984,0.4707,9.8666,-0.3428,0.2174,-0.5058
1.1406,0.2835,9.7633,-0.3397,0.2306,-0.5140
1.4163,0.4199,9.6724,-0.3114,0.2381,-0.5020
1.2520,0.5289,9.7866,-0.3269,0.2212,-0.5072
1.3770,0.4440,9.7791,-0.3044,0.2461,-0.5060
1.2241,0.3680,9.9823,-0.3155,0.2440,-0.5044
1.4864,0.2746,9.7466,-0.3100,0.2149,-0.5289
1.5317,0.0982,9.7668,-0.2827,0.2293,-0.5202
1.5961,0.3382,9.6133,-0.2920,0.2592,-0.5095
1.5742,0.1935,9.7300,-0.2802,0.2519,-0.5238
1.7075,0.0840,9.5330,-0.2948,0.2602,-0.5188
1.7908,0.0923,9.6707,-0.2576,0.2641,-0.5256
1.6041,0.1889,9.8273,-0.2722,0.2657,-0.5284
1.7324,-0.0392,9.8122,-0.2623,0.2646,-0.5202
1.6843,-0.0743,9.8484,-0.2496,0.2792,-0.5041
1.7976,-0.1066,9.8118,-0.2438,0.2811,-0.5368
1.7609,-0.1871,9.7932,-0.2343,0.2890,-0.5190
1.7319,-0.2361,9.8219,-0.2162,0.2738,-0.5162
1.9443,-0.2500,9.8074,-0.2481,0.2805,-0.5338
1.8420,-0.1744,9.7142,-0.2125,0.2878,-0.5074
1.8622,-0.3483,9.8628,-0.2215,0.2998,-0.5167
1.8976,-0.3950,9.9415,-0.2154,0.2753,-0.5113
1.9701,-0.1620,9.7204,-0.1940,0.2764,-0.5202
2.0367,-0.4601,9.8148,-0.2058,0.2852,-0.5134
2.0610,-0.5138,9.8599,-0.2008,0.2754,-0.5229
1.9705,-0.4498,9.6856,-0.1983,0.2902,-0.5114
2.0135,-0.4546,9.9156,-0.1639,0.3134,-0.4884
1.9541,-0.4544,9.8236,-0.1721,0.3095,-0.5130
1.8722,-0.5070,9.8302,-0.1619,0.2876,-0.5011
1.8098,-0.5299,9.8369,-0.1493,0.3017,-0.4953
2.2368,-0.8016,9.8140,-0.1441,0.3007,-0.4820
2.1170,-0.6515,9.8535,-0.1466,0.3038,-0.4867
1.9924,-0.7534,9.9164,-0.1598,0.3240,-0.4838
1.9517,-0.9018,9.8443,-0.1584,0.3206,-0.4913
2.0587,-0.6928,9.7882,-0.1392,0.3211,-0.4732
1.9713,-0.8947,9.7594,-0.1300,0.3195,-0.4579
2.1496,-0.7608,9.9343,-0.1155,0.3349,-0.4655
